Sample in Buffer,Sample in Window,TRIGGER,axi_spi_top_i/system_ila_4/inst/probe0_1[13:0]
334,334,0,-4027
335,335,0,-381
336,336,0,4014
337,337,0,2795
338,338,0,-2189
339,339,0,-4025
340,340,0,-380
341,341,0,4018
342,342,0,2796
343,343,0,-2198
344,344,0,-4019
345,345,0,-384
346,346,0,4010
347,347,0,2790
348,348,0,-2192
349,349,0,-4024
350,350,0,-377
351,351,0,4019
352,352,0,2794
353,353,0,-2191
354,354,0,-4022
355,355,0,-381
356,356,0,4020
357,357,0,2793
358,358,0,-2189
359,359,0,-4022
360,360,0,-379
361,361,0,4015
362,362,0,2796
363,363,0,-2192
364,364,0,-4023
365,365,0,-377
366,366,0,4020
367,367,0,2794
368,368,0,-2188
369,369,0,-4024
370,370,0,-379
371,371,0,4013
372,372,0,2793
373,373,0,-2190
374,374,0,-4023
375,375,0,-376
376,376,0,4023
377,377,0,2799
378,378,0,-2190
379,379,0,-4027
380,380,0,-383
381,381,0,4016
382,382,0,2797
383,383,0,-2190
384,384,0,-4024
385,385,0,-380
386,386,0,4022
387,387,0,2792
388,388,0,-2188
389,389,0,-4023
390,390,0,-377
391,391,0,4020
392,392,0,2800
393,393,0,-2191
394,394,0,-4022
395,395,0,-377
396,396,0,4019
397,397,0,2792
398,398,0,-2191
399,399,0,-4019
400,400,0,-380
401,401,0,4022
402,402,0,2794
403,403,0,-2189
404,404,0,-4023
405,405,0,-374
406,406,0,4019
407,407,0,2793
408,408,0,-2193
409,409,0,-4024
410,410,0,-377
411,411,0,4018
412,412,0,2791
413,413,0,-2195
414,414,0,-4023
415,415,0,-377
416,416,0,4018
417,417,0,2794
418,418,0,-2190
419,419,0,-4019
420,420,0,-380
421,421,0,4014
422,422,0,2790
423,423,0,-2192
424,424,0,-4025
425,425,0,-376
426,426,0,4022
427,427,0,2795
428,428,0,-2192
429,429,0,-4027
430,430,0,-377
431,431,0,4019
432,432,0,2797
433,433,0,-2190
434,434,0,-4026
435,435,0,-375
436,436,0,4023
437,437,0,2795
438,438,0,-2196
439,439,0,-4023
440,440,0,-374
441,441,0,4019
442,442,0,2792
443,443,0,-2188
444,444,0,-4022
445,445,0,-373
446,446,0,4017
447,447,0,2792
448,448,0,-2194
449,449,0,-4024
450,450,0,-372
451,451,0,4019
452,452,0,2789
453,453,0,-2194
454,454,0,-4024
455,455,0,-376
456,456,0,4017
457,457,0,2792
458,458,0,-2189
459,459,0,-4022
460,460,0,-379
461,461,0,4017
462,462,0,2794
463,463,0,-2194
464,464,0,-4019
465,465,0,-371
466,466,0,4024
467,467,0,2794
468,468,0,-2195
469,469,0,-4026
470,470,0,-374
471,471,0,4018
472,472,0,2796
473,473,0,-2196
474,474,0,-4023
475,475,0,-373
476,476,0,4020
477,477,0,2787
478,478,0,-2195
479,479,0,-4023
480,480,0,-370
481,481,0,4022
482,482,0,2794
483,483,0,-2196
484,484,0,-4023
485,485,0,-377
486,486,0,4019
487,487,0,2794
488,488,0,-2194
489,489,0,-4021
490,490,0,-375
491,491,0,4022
492,492,0,2799
493,493,0,-2192
494,494,0,-4023
495,495,0,-374
496,496,0,4019
497,497,0,2793
498,498,0,-2195
499,499,0,-4024
500,500,0,-374
501,501,0,4022
502,502,0,2788
503,503,0,-2192
504,504,0,-4019
505,505,0,-371
506,506,0,4018
507,507,0,2789
508,508,0,-2193
509,509,0,-4025
510,510,0,-375
511,511,0,4021
512,512,1,2787
513,513,0,-2192
514,514,0,-4023
515,515,0,-370
516,516,0,4020
517,517,0,2790
518,518,0,-2197
519,519,0,-4026
520,520,0,-378
521,521,0,4017
522,522,0,2789
523,523,0,-2190
524,524,0,-4022
525,525,0,-366
526,526,0,4023
527,527,0,2787
528,528,0,-2192
529,529,0,-4024
530,530,0,-378
531,531,0,4019
532,532,0,2787
533,533,0,-2199
534,534,0,-4022
535,535,0,-369
536,536,0,4017
537,537,0,2792
538,538,0,-2199
539,539,0,-4020
540,540,0,-372
541,541,0,4018
542,542,0,2796
